country,date,value
CA,1982-Q2,18232.0349083016
CA,1982-Q3,16821.8422106885
CA,1982-Q4,16842.2615994517
CA,1983-Q1,16762.9268783574
CA,1983-Q2,19181.2437207009
CA,1983-Q3,17560.0362319081
CA,1983-Q4,20144.0174288627
CA,1984-Q1,20621.9593357733
CA,1984-Q2,22779.8034606181
CA,1984-Q3,21069.7521318974
CA,1984-Q4,22495.8500583498
CA,1985-Q1,21323.8959107071
CA,1985-Q2,23144.5070415623
CA,1985-Q3,20452.2760573407
CA,1985-Q4,22614.4030462288
CA,1986-Q1,21009.1626810919
CA,1986-Q2,22758.6604441003
CA,1986-Q3,20489.3520761224
CA,1986-Q4,22436.1952496938
CA,1987-Q1,22835.6320632724
CA,1987-Q2,24159.6124398181
CA,1987-Q3,22898.8029241686
CA,1987-Q4,25740.0856794044
CA,1988-Q1,26749.8299610802
CA,1988-Q2,29690.1885260897
CA,1988-Q3,26742.6751899775
CA,1988-Q4,29663.6473305812
CA,1989-Q1,30172.9711200553
CA,1989-Q2,31168.5899007219
CA,1989-Q3,27938.8974181323
CA,1989-Q4,31004.1330060089
CA,1990-Q1,30252.4514558849
CA,1990-Q2,33439.6219771466
CA,1990-Q3,30349.7082508974
CA,1990-Q4,32317.8036380029
CA,1991-Q1,29139.4528758758
CA,1991-Q2,32668.3143368193
CA,1991-Q3,30316.6543026116
CA,1991-Q4,32310.4549827776
CA,1992-Q1,31358.2801576704
CA,1992-Q2,34356.1663038818
CA,1992-Q3,31788.3468624539
CA,1992-Q4,33902.9434195922
CA,1993-Q1,34343.5091128356
CA,1993-Q2,37560.5386300384
CA,1993-Q3,33822.7824139018
CA,1993-Q4,37408.2390229187
CA,1994-Q1,36066.0920782852
CA,1994-Q2,40731.8877358069
CA,1994-Q3,40234.8234857546
CA,1994-Q4,45714.0530193567
CA,1995-Q1,45892.7781957869
CA,1995-Q2,48702.1668408842
CA,1995-Q3,45633.508071864
CA,1995-Q4,49704.6540816436
CA,1996-Q1,48106.9571695906
CA,1996-Q2,51804.7730817981
CA,1996-Q3,49514.3198320449
CA,1996-Q4,51969.1566946807
CA,1997-Q1,52913.509983039
CA,1997-Q2,54454.4811438297
CA,1997-Q3,52370.5113815448
CA,1997-Q4,55506.087722514
CA,1998-Q1,53561.5550057668
CA,1998-Q2,55486.4632391596
CA,1998-Q3,51866.1135970884
CA,1998-Q4,56088.56594775
CA,1999-Q1,57362.5708538634
CA,1999-Q2,61212.0030400067
CA,1999-Q3,60602.9819396215
CA,1999-Q4,66102.434549624
CA,2000-Q1,69596.6534519696
CA,2000-Q2,72569.0293242885
CA,2000-Q3,69774.4140857803
CA,2000-Q4,73616.1920931252
CA,2001-Q1,72756.9002831056
CA,2001-Q2,71101.773055894
CA,2001-Q3,62369.8099438722
CA,2001-Q4,62102.7502338871
CA,2002-Q1,61551.0620689809
CA,2002-Q2,67073.2436534541
CA,2002-Q3,64199.9984365803
CA,2002-Q4,66736.4258903055
CA,2003-Q1,68783.798411929
CA,2003-Q2,70257.7981124283
CA,2003-Q3,68047.3935785744
CA,2003-Q4,74181.2609328523
CA,2004-Q1,75753.1777055379
CA,2004-Q2,83019.5949600482
CA,2004-Q3,80977.8918000211
CA,2004-Q4,85319.900303536
CA,2005-Q1,84468.0608146141
CA,2005-Q2,89945.5449947359
CA,2005-Q3,91703.7580141678
CA,2005-Q4,100163.777579003
CA,2006-Q1,95934.2146691996
CA,2006-Q2,100842.984326162
CA,2006-Q3,97668.810002611
CA,2006-Q4,98894.9154835853
CA,2007-Q1,99463.6856259936
CA,2007-Q2,109389.424605619
CA,2007-Q3,104852.406166953
CA,2007-Q4,110852.91498935
CA,2008-Q1,111569.218498486
CA,2008-Q2,125802.422153633
CA,2008-Q3,120652.930998734
CA,2008-Q4,92933.8797838365
CA,2009-Q1,72792.7049437369
CA,2009-Q2,74146.9405859559
CA,2009-Q3,79438.6722762016
CA,2009-Q4,87249.2625069739
CA,2010-Q1,89886.9851099494
CA,2010-Q2,96428.9380112782
CA,2010-Q3,92025.4647559601
CA,2010-Q4,100722.396465161
CA,2011-Q1,104971.640366035
CA,2011-Q2,111711.572236403
CA,2011-Q3,111958.514015794
CA,2011-Q4,113911.408346011
CA,2012-Q1,111847.736919357
CA,2012-Q2,112373.503378782
CA,2012-Q3,107683.355270934
CA,2012-Q4,113208.26872266
CA,2013-Q1,110003.852925494
CA,2013-Q2,114383.561417332
CA,2013-Q3,111150.100891291
CA,2013-Q4,113214.718962881
CA,2014-Q1,111293.110714323
CA,2014-Q2,121054.438067753
CA,2014-Q3,118022.459859856
CA,2014-Q4,113103.039335666
CA,2015-Q1,98046.0396504074
CA,2015-Q2,104410.081896252
CA,2015-Q3,97032.5403862314
CA,2015-Q4,96546.5868557052
CA,2016-Q1,89579.8173382505
CA,2016-Q2,94424.6755711451
CA,2016-Q3,94860.2625959137
CA,2016-Q4,99895.0206715344
CA,2017-Q1,99940.2924767702
CA,2017-Q2,103768.187102932
CA,2017-Q3,99017.5027819327
CA,2017-Q4,105801.253665291
CA,2018-Q1,105213.015366505
CA,2018-Q2,114335.962854268
CA,2018-Q3,110322.741761821
CA,2018-Q4,106375.740425127
CA,2019-Q1,102841.386775005
CA,2019-Q2,113456.91644173
CA,2019-Q3,106736.060392588
